,['Au0+'],['Co0+'],['Cu0+'],['F-'],['Fe0+'],['H0+'],['Ni0+'],['Ru0+'],['W0+']
0,2.138201496868973,9.87539629523466,2.4988772460053204,-22.087635835947967,9.421398068262633,-6.467442125021863,13.117409339318522,9.557600907238342,7.504957021481086
1,,9.859665263695941,1.0043482385076217,-22.047655130831036,9.381813496272168,-6.467442125021863,13.093645766501508,9.557741314597527,7.39909072617889
2,,9.8640832393461,1.567961828436776,,9.377205734006141,,12.53086661524775,9.558862200709761,7.411327239201644
3,,,,,9.424151045664606,,12.529074742361562,9.558874551808747,7.394656093537435
4,,,,,,,13.11475644845653,,7.409865748498291
5,,,,,,,13.112850411007571,,7.397661452528914
6,,,,,,,9.81107505069238,,7.392607134043268
7,,,,,,,9.812829665326106,,7.3901737525862865
8,,,,,,,12.894943582183565,,7.400697207003542
9,,,,,,,12.908504660627168,,7.535860467714581
10,,,,,,,13.079515075603693,,7.531154758836577
11,,,,,,,13.083709253504349,,7.508736246084875
12,,,,,,,13.024650517521582,,
13,,,,,,,13.052837515284756,,
14,,,,,,,8.945828416322794,,
15,,,,,,,8.948891293762824,,
16,,,,,,,9.651465517527335,,
17,,,,,,,9.651419889793583,,
18,,,,,,,11.921362086247791,,
19,,,,,,,11.91908711254184,,
20,,,,,,,13.168754800279679,,
21,,,,,,,13.188983960329516,,
22,,,,,,,10.75083474261186,,
23,,,,,,,10.41541880592132,,
24,,,,,,,13.205430266019933,,
25,,,,,,,13.202684069472896,,
26,,,,,,,-6.832995139732148,,
27,,,,,,,-6.8496800409057315,,
28,,,,,,,-6.830080983989952,,
29,,,,,,,-6.829690948831468,,
30,,,,,,,-6.849202351003422,,
31,,,,,,,-6.83334962693911,,
32,,,,,,,9.38690081343166,,
33,,,,,,,9.38690066716055,,
34,,,,,,,-7.6037481103633064,,
35,,,,,,,-7.588373686308181,,
